,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
0,2,9,1,2,2,13,2,2,2,2,2,2,9247,5464,5330,5568,5757,5868,1161,1129,857,933,929,3385,0
1,3,5,1,2,1,16,2,2,2,2,2,2,11723,11945,12344,9327,9577,9648,1619,1611,1049,1030,997,913,0
2,4,5,0,2,1,36,1,2,1,2,2,2,4193,3067,10336,7777,7117,7028,1619,6362,4953,4483,630,616,0
3,5,5,0,1,2,16,2,2,2,2,2,2,14037,13238,13351,7219,7351,7473,2039,1429,570,933,929,726,0
4,6,10,1,2,2,2,2,1,1,2,2,1,5146,545,702,433,254,749,275,396,0,534,1520,1395,0
5,7,14,1,3,1,7,2,2,4,2,2,2,4992,5482,4985,5036,4971,2365,2654,0,369,933,929,913,0
6,8,2,0,3,2,14,0,0,0,0,1,1,273,302,316,317,5258,5463,0,0,0,4946,1048,0,0
7,9,20,1,3,2,13,2,2,4,2,2,1,4938,4413,2952,1774,1468,2372,1892,12,44,269,2862,53,0
8,10,26,1,1,2,30,1,1,1,1,1,3,5234,7640,4414,3872,8065,5406,6131,5053,4715,5355,0,2800,0
9,12,25,0,1,2,8,2,2,2,2,2,2,14599,14161,13903,13695,13314,13025,2402,2375,2511,2459,2425,2417,0
10,13,5,1,3,3,2,3,4,2,2,2,2,12639,9179,8951,9478,9816,9878,0,1129,955,1122,1201,1006,0
11,15,32,0,1,1,28,2,2,2,1,1,1,20176,19814,19061,14480,3032,18057,5271,5058,6305,5276,5860,5553,0
12,16,18,1,1,2,8,3,0,0,0,0,0,273,302,316,317,335,362,0,0,0,0,0,0,0
13,17,13,1,3,2,18,2,2,2,2,2,1,10506,8809,8171,7692,4975,1011,2402,1166,857,1783,862,5430,0
14,20,9,0,1,2,2,2,2,2,1,2,2,2787,3544,316,2877,3182,3837,3951,0,3794,1122,1797,1760,0
15,21,5,0,3,2,2,2,2,2,2,2,2,11865,10950,10360,9542,9915,9825,1593,1058,858,1321,990,910,0
16,23,5,1,3,2,9,2,2,2,2,2,2,7896,6038,6254,6590,7008,7274,947,935,857,1378,929,925,0
17,24,5,1,3,1,26,1,1,1,1,1,1,683,2210,2181,1543,10130,513,2713,2688,1810,5534,221,0,0
18,25,5,0,1,2,5,2,2,2,2,2,2,5969,6169,6363,6599,6776,4877,1143,1129,857,933,1451,0,0
19,26,23,1,1,2,6,1,1,1,1,1,1,6362,6378,5248,5832,5582,10754,5911,5557,5517,5033,5529,0,0
20,28,10,0,1,2,11,2,2,2,2,2,2,16194,15490,15395,15289,14880,14405,2425,2746,2726,2596,2565,2107,0
21,29,16,0,1,2,9,1,1,0,0,0,1,9467,220,166,123,93,93,89,267,336,519,732,0,0
22,30,28,0,2,1,19,2,2,2,2,2,2,19380,19004,18815,18397,18063,17806,4734,4680,4140,3972,3916,3994,0
23,31,6,1,2,2,1,2,2,2,2,2,1,5889,4417,4713,3079,7,6824,1143,1147,1809,0,5621,556,0
24,33,28,0,1,2,10,1,1,4,1,2,1,578,4198,2658,4425,6613,4256,4983,0,4951,4316,4533,710,0
25,34,7,1,1,2,4,2,2,2,2,2,2,14281,14156,13938,13985,13923,13797,2402,3302,3154,2144,2310,2104,0
26,35,0,0,2,2,1,2,2,2,2,2,2,1464,2115,3112,2242,2294,2614,1143,2328,857,269,929,445,0
27,36,14,1,2,1,16,2,2,2,2,2,2,13596,13713,13852,14027,14081,14053,2402,2375,2511,3011,2983,2417,0
28,37,4,1,1,2,9,2,2,2,4,2,2,7057,7574,8448,8607,8922,9525,2402,3541,0,1783,2425,0,0
29,41,2,0,1,2,3,2,2,2,2,2,2,6585,6771,7077,7431,7745,7497,965,950,616,864,844,980,0
30,43,10,1,3,3,22,2,2,2,2,2,2,13819,12721,11335,11223,10779,10327,1619,1231,1328,1783,1370,913,0
31,44,31,1,2,1,28,0,0,0,0,0,0,5487,3795,3605,4783,2248,668,4688,4538,5165,2776,416,0,0
32,45,18,1,1,2,4,3,4,2,2,2,2,10873,10942,11202,11683,11781,11729,947,1602,1573,1610,1605,1457,0
33,46,15,1,1,2,8,4,2,2,2,2,2,11574,10086,9746,8851,7863,6119,1240,1335,906,1378,1755,3385,0
34,47,18,1,3,1,13,2,2,2,1,1,1,6289,5956,3883,3426,153,3847,4868,1129,4468,630,4460,1760,0
35,48,18,1,2,1,13,2,2,2,2,2,2,19175,18850,18666,18357,17139,16795,4755,4458,3737,3384,3332,2886,0
36,49,20,1,1,2,13,1,5,4,4,3,3,1295,1029,828,1057,787,1328,0,0,612,0,1118,0,0
37,50,7,0,2,1,18,2,2,2,2,2,1,14590,14633,14416,6147,5524,935,3111,1683,857,1783,2425,0,0
38,53,13,1,2,1,30,1,1,0,0,1,1,308,302,316,317,1733,362,0,0,0,2042,0,0,0
39,56,21,1,1,2,9,4,1,1,1,1,1,446,486,1064,1660,505,2543,215,798,2000,269,3112,827,0
40,57,13,1,3,2,8,3,0,0,1,3,1,165,8,13,4549,4534,3516,0,0,5750,0,4147,4902,0
41,58,2,0,5,2,1,4,2,2,2,2,2,6937,6360,6298,6663,4828,3141,0,837,857,456,929,0,0
42,59,8,0,1,2,10,1,1,1,1,1,1,770,302,561,552,574,612,0,262,331,357,347,344,0
43,61,20,1,2,1,11,1,1,1,1,3,1,4348,3108,147,2829,2366,2149,3975,15,4815,17,2543,1270,0
44,62,29,1,1,2,16,3,0,1,1,1,1,273,302,2064,317,1737,362,0,2503,0,2046,0,0,0
45,63,35,0,1,2,11,1,1,1,1,1,1,2063,3027,7964,2509,15013,8616,3935,6114,3310,5830,5369,1776,0
46,64,2,0,2,2,3,2,2,4,2,2,2,5782,6364,6097,6288,6403,6786,2295,0,525,583,1370,0,0
47,65,5,0,3,2,4,1,2,2,2,2,2,11066,10370,10371,4308,4285,4485,1392,1394,267,456,929,913,0
48,66,30,1,1,1,24,1,1,1,1,1,1,439,480,491,478,500,534,209,192,239,261,250,251,0
49,70,5,1,3,2,28,2,2,2,2,2,2,12204,11869,7646,7651,7210,7208,1313,937,612,650,786,751,0
50,71,16,0,2,2,12,2,2,2,2,2,2,17860,16796,14590,17025,16705,16499,3314,2768,6313,3251,3325,3192,0
51,72,16,1,2,2,11,2,2,2,2,2,1,2434,2722,3303,3913,3411,890,800,1592,1769,0,707,1980,0
52,73,13,1,1,1,14,2,2,2,1,1,1,15442,17239,6447,1146,3421,1184,6442,3541,1174,4155,1109,1834,0
53,74,2,0,3,2,23,4,4,2,2,2,3,4174,3944,4304,4603,5100,5016,0,1273,857,1783,0,1358,0
54,76,28,1,1,2,18,1,1,1,2,2,0,3818,302,2412,2349,335,362,0,3010,0,0,0,0,0
55,77,10,1,1,2,6,0,0,0,0,0,0,39,3028,316,317,335,362,4612,0,0,0,0,0,0
56,78,16,1,2,1,16,1,1,1,1,1,0,832,1332,872,846,335,362,1242,553,724,0,0,4217,0
57,79,6,1,2,2,2,2,2,2,2,2,2,11468,11674,11882,7318,7146,7123,1560,936,594,641,754,760,0
58,80,9,0,2,2,14,2,2,2,2,2,2,15602,15618,15664,10707,10216,10033,2853,2800,1029,1042,1030,1047,0
59,81,15,0,1,2,6,2,2,2,2,2,2,15747,15626,15745,15753,15397,11246,3117,5064,2703,3037,1528,726,0
60,82,5,1,3,1,1,2,2,2,2,2,2,6989,6662,6204,5280,3997,3722,1056,832,322,252,279,166,0
61,84,14,0,1,2,11,0,0,0,0,0,0,699,4556,877,568,383,1336,5248,558,354,88,1309,0,0
62,86,6,1,2,2,5,4,4,4,4,3,2,13289,13106,13509,13739,13203,13007,0,3541,2179,6,2425,2417,0
63,87,7,1,2,2,3,1,1,0,0,0,1,3117,302,316,317,335,8765,0,0,0,0,5379,1760,0
64,88,8,1,2,1,15,1,1,1,1,1,1,3330,1968,2117,2148,1082,1162,2303,2587,2738,1075,1073,948,0
65,89,36,0,1,2,31,1,1,1,1,1,1,720,1690,788,862,1082,2882,1864,479,745,1075,3528,3395,0
66,90,13,0,2,2,17,2,2,2,1,1,1,19080,18947,10866,17104,11747,16705,5357,0,6411,3281,5825,3325,0
67,91,34,1,1,1,10,2,2,4,2,2,2,16882,16831,16632,16574,16293,16066,5021,0,2911,3067,5062,0,0
68,92,5,0,3,1,26,2,2,4,2,2,2,5437,5657,5692,5982,6210,6389,1619,645,857,933,929,913,0
69,93,28,0,2,1,20,4,4,4,4,3,4,18090,17988,17724,17867,17692,17330,4244,0,5434,5063,0,3385,0
70,94,10,1,1,2,3,2,2,2,2,2,2,12906,12907,13056,13340,13608,13389,1619,2162,2576,3497,2425,1791,0
71,95,5,0,2,2,20,2,2,2,2,2,2,7082,7040,7341,7604,7687,7442,986,940,612,669,665,621,0
72,97,24,0,1,2,7,1,1,1,1,1,1,466,505,514,2972,636,563,233,214,3906,434,284,471,0
73,99,24,1,2,2,17,2,2,2,2,1,1,12541,12770,12946,13047,1168,1195,1619,2375,2511,1217,1121,505,0
74,101,11,1,1,1,27,3,0,0,0,0,0,273,302,316,317,335,362,0,0,0,0,0,0,0
75,103,2,0,1,2,6,2,2,2,2,2,2,7122,6934,7002,7215,7402,5890,1049,769,517,800,271,0,0
76,104,2,0,2,2,2,3,0,0,0,0,0,273,302,316,317,335,362,0,0,0,0,0,0,0
77,105,20,0,3,2,31,2,2,2,2,2,2,17090,16380,16309,16371,16184,15983,2819,2793,2914,2938,2826,2880,0
78,108,6,0,3,1,34,5,4,4,2,2,2,13718,13703,13321,9503,9804,8770,2043,7,1049,1122,1026,1358,0
79,109,3,1,1,2,2,3,0,0,0,1,1,2512,3058,2222,292,5437,3117,3910,2743,26,5002,3753,2439,0
80,110,24,0,1,2,20,3,1,1,2,2,1,305,1851,2128,2080,552,1506,2136,2601,0,329,1561,841,0
81,111,34,0,3,1,25,2,2,2,2,2,2,19946,19661,19438,19080,18640,18299,4789,4692,4596,4361,4374,4302,0
82,112,3,1,2,2,1,2,2,2,2,2,2,9074,8444,8620,8630,6484,161,1619,1033,0,456,0,1410,0
83,113,24,0,2,1,13,2,2,2,4,3,3,4821,5016,5355,5311,5541,5457,1143,1414,0,933,0,285,0
84,114,15,0,1,2,6,2,2,2,2,2,2,6584,7056,7733,8486,9047,9883,2039,2375,2511,2459,2737,3385,0
85,115,21,1,2,1,12,2,2,2,2,2,2,3686,3844,4004,4127,2563,3045,1143,1129,857,456,1755,491,0
86,117,5,0,1,2,3,2,2,2,2,2,2,12699,12471,12429,7233,7229,6957,1933,1319,857,837,806,1864,0
87,119,18,0,2,2,7,1,1,1,1,1,1,1434,302,865,510,593,631,0,282,279,456,2737,757,0
88,120,5,0,2,2,2,3,4,4,4,2,2,4658,4713,7443,7491,7483,6609,660,5058,340,651,740,540,0
89,121,17,0,2,2,8,0,0,0,0,0,0,5207,4488,4428,4440,4457,5932,5147,5058,4953,4625,5065,4552,0
90,122,2,0,1,2,8,1,1,1,1,2,1,1048,5901,529,1692,3290,573,5825,230,2051,3337,297,287,0
91,123,5,0,1,2,7,2,2,2,2,2,4,2896,3155,3533,4129,4681,4531,660,1129,1769,1453,1026,0,0
92,125,20,0,1,2,13,3,4,2,2,2,2,19574,18903,15994,17585,17144,13406,4716,3541,6232,3441,3394,4348,0
93,126,8,1,2,1,2,3,4,5,4,2,2,4377,4641,4496,4400,4513,5032,1288,0,0,348,1835,1,0
94,127,26,1,1,1,39,3,0,1,1,1,1,73,76,7631,317,968,966,0,6093,0,902,929,0,0
